S,I,R,S_obs,I_obs,R_obs
0.999999,1e-06,0.0,1.8499999999999999e-06,1.5e-07,0.999998
0.999998992924695,1.0052703785278496e-06,1.8049265850348186e-09,1.8597502002765217e-06,1.5079055677917742e-07,0.9999979894592429
0.999998985812104,1.0105685311115312e-06,3.6193648631147068e-09,1.8695517825563326e-06,1.5158527966672967e-07,0.9999979788629377
0.9999989786620385,1.0158945985553025e-06,5.443363055204185e-09,1.8794050073273096e-06,1.5238418978329538e-07,0.9999979682108029
0.9999989714742777,1.0212487449583543e-06,7.27697736004258e-09,1.8893101781729554e-06,1.5318731174375313e-07,0.9999979575025101
0.9999989642486914,1.0266310675659196e-06,9.120241081046295e-09,1.8992674749969514e-06,1.5399466013488794e-07,0.9999979467378649
0.9999989569850529,1.0320417351065778e-06,1.0973212002383299e-08,1.909277209947169e-06,1.5480626026598667e-07,0.9999979359165297
0.9999989496831522,1.0374809041346761e-06,1.28359437389285e-08,1.9193396726491507e-06,1.5562213562020142e-07,0.9999979250381917
0.999998942342779,1.042948731204562e-06,1.4708489905556795e-08,1.9294551527284397e-06,1.5644230968068428e-07,0.9999979141025376
0.999998934963723,1.0484453728705828e-06,1.65909041171431e-08,1.939623939810578e-06,1.572668059305874e-07,0.9999979031092543
0.9999989275457744,1.053970985687086e-06,1.8483239988562313e-08,1.949846323521109e-06,1.5809564785306287e-07,0.9999978920580286
0.9999989200887227,1.0595257262084187e-06,2.0385551134689337e-08,1.9601225934855745e-06,1.589288589312628e-07,0.9999978809485476
0.999998912592358,1.0651097509889287e-06,2.2297891170399088e-08,1.9704530393295183e-06,1.597664626483393e-07,0.9999978697804981
0.9999989050564698,1.0707232165829633e-06,2.4220313710566452e-08,1.9808379506784823e-06,1.606084824874445e-07,0.9999978585535668
0.9999988974808481,1.07636627954487e-06,2.6152872370066344e-08,1.9912776171580092e-06,1.6145494193173048e-07,0.9999978472674409
0.9999988898652828,1.082039096428996e-06,2.8095620763773675e-08,2.001772328393643e-06,1.623058644643494e-07,0.9999978359218072
0.9999988822095637,1.0877418238649432e-06,3.0048612532336876e-08,2.012322374150145e-06,1.6316127357974148e-07,0.9999978245163522
0.9999988745134727,1.0934746241273712e-06,3.2011903249749704e-08,2.0229280546356365e-06,1.6402119361910567e-07,0.9999978130507517
0.9999988667767936,1.0992376583606508e-06,3.398554810289968e-08,2.033589667967204e-06,1.648856487540976e-07,0.9999978015246832
0.9999988589993143,1.10503108455477e-06,3.596960119834637e-08,2.0443075064263244e-06,1.6575466268321551e-07,0.999997789937831
0.9999988511808228,1.1108550606997162e-06,3.796411664264937e-08,2.055081862294475e-06,1.6662825910495743e-07,0.9999977782898787
0.9999988433211068,1.1167097447854768e-06,3.996914854236825e-08,2.065913027853132e-06,1.675064617178215e-07,0.9999977665805104
0.9999988354199543,1.1225952948020395e-06,4.198475100406258e-08,2.076801295383773e-06,1.6838929422030593e-07,0.9999977548094104
0.9999988274771532,1.1285118687393917e-06,4.401097813429194e-08,2.0877469571678746e-06,1.6927678031090875e-07,0.9999977429762625
0.9999988194924915,1.134459624587521e-06,4.604788403961591e-08,2.098750305486914e-06,1.7016894368812816e-07,0.9999977310807509
0.9999988114657569,1.140438720336415e-06,4.8095522826594045e-08,2.109811632622368e-06,1.7106580805046225e-07,0.9999977191225593
0.9999988033967375,1.146449313976061e-06,5.015394860178595e-08,2.120931230855713e-06,1.7196739709640916e-07,0.999997707101372
0.9999987952852211,1.1524915634964466e-06,5.222321547175119e-08,2.1321093924684262e-06,1.7287373452446698e-07,0.999997695016873
0.9999987871309957,1.1585656268875597e-06,5.430337754304933e-08,2.143346409741985e-06,1.7378484403313395e-07,0.9999976828687462
0.9999987789338108,1.1646716905737732e-06,5.639449866019747e-08,2.1546426275614806e-06,1.7470075358606596e-07,0.9999976706566188
0.9999987706933949,1.1708099570026375e-06,5.849664815518884e-08,2.1659984204548794e-06,1.7562149355039563e-07,0.999997658380086
0.9999987624095216,1.176980594748171e-06,6.060988375930857e-08,2.1774141002841165e-06,1.7654708921222567e-07,0.9999976460388106
0.9999987540819647,1.1831837721996691e-06,6.273426314057924e-08,2.1888899785693876e-06,1.7747756582995036e-07,0.9999976336324555
0.9999987457104983,1.1894196577464262e-06,6.486984396702349e-08,2.2004263668308888e-06,1.7841294866196392e-07,0.9999976211606846
0.9999987372948964,1.1956884197777379e-06,6.701668390666393e-08,2.212023576588815e-06,1.7935326296666068e-07,0.9999976086231603
0.9999987288349328,1.2019902266828987e-06,6.917484062752318e-08,2.2236819193633625e-06,1.802985340024348e-07,0.9999975960195466
0.9999987203303814,1.208325246851204e-06,7.134437179762388e-08,2.2354017066747277e-06,1.812487870276806e-07,0.9999975833495064
0.9999987117810163,1.2146936486719485e-06,7.35253350849886e-08,2.247183250043105e-06,1.8220404730079227e-07,0.9999975706127027
0.9999987031866113,1.2210956005344274e-06,7.571778815764e-08,2.2590268609886906e-06,1.831643400801641e-07,0.999997557808799
0.9999986945469406,1.2275312708279358e-06,7.792178868360069e-08,2.270932851031681e-06,1.8412969062419037e-07,0.9999975449374584
0.9999986858617778,1.2340008279417684e-06,8.013739433089329e-08,2.2829015316922715e-06,1.8510012419126526e-07,0.9999975319983441
0.9999986771308725,1.2405044584608932e-06,8.236466899903981e-08,2.2949332481526524e-06,1.8607566876913397e-07,0.9999975189910831
0.9999986683539246,1.247042386105542e-06,8.460368930533233e-08,2.3070284142952524e-06,1.8705635791583127e-07,0.9999975059152277
0.9999986595306892,1.253614793140682e-06,8.68545176698159e-08,2.3191873673102616e-06,1.880422189711023e-07,0.9999974927704137
0.9999986506609253,1.2602218591323366e-06,8.911721558822412e-08,2.331410439394823e-06,1.8903327886985048e-07,0.9999974795562817
0.9999986417443918,1.2668637636465293e-06,9.139184455629063e-08,2.3436979627460795e-06,1.9002956454697938e-07,0.9999974662724728
0.9999986327808477,1.2735406862492834e-06,9.367846606974903e-08,2.3560502695611747e-06,1.910311029373925e-07,0.9999974529186275
0.9999986237700519,1.2802528065066222e-06,9.597714162433293e-08,2.368467692037251e-06,1.9203792097599333e-07,0.9999974394943869
0.9999986147117633,1.287000303984569e-06,9.828793271577596e-08,2.3809505623714525e-06,1.9305004559768532e-07,0.999997425999392
0.9999986056057409,1.2937833582491469e-06,1.0061090083981171e-07,2.393499212760922e-06,1.9406750373737202e-07,0.9999974124332836
0.9999985964517436,1.3006021488663794e-06,1.0294610749217379e-07,2.406113975402802e-06,1.950903223299569e-07,0.9999973987957023
0.9999985872495304,1.30745685540229e-06,1.0529361416859587e-07,2.4187951824942367e-06,1.9611852831034352e-07,0.9999973850862892
0.9999985779988603,1.3143476574229018e-06,1.0765348236481148e-07,2.4315431662323683e-06,1.9715214861343526e-07,0.9999973713046851
0.9999985686992368,1.321274924533595e-06,1.1002583865984124e-07,2.444358610387151e-06,1.9819123868003926e-07,0.999997357450151
0.9999985593489306,1.3282399450782815e-06,1.1241112427554812e-07,2.457243898394821e-06,1.9923599176174223e-07,0.9999973435201098
0.9999985499474281,1.3352431016011523e-06,1.1480947022214185e-07,2.470199737962132e-06,2.0028646524017285e-07,0.9999973295137968
0.9999985404944508,1.3422846015693889e-06,1.1722094755074022e-07,2.4832265129033694e-06,2.0134269023540832e-07,0.999997315430797
0.9999985309897201,1.349364652450172e-06,1.1964562731246099e-07,2.4963246070328184e-06,2.024046978675258e-07,0.9999973012706951
0.9999985214329576,1.356483461710683e-06,1.22083580558422e-07,2.5094944041647635e-06,2.0347251925660245e-07,0.9999972870330766
0.9999985118238848,1.3636412368181034e-06,1.2453487833974098e-07,2.5227362881134913e-06,2.045461855227155e-07,0.9999972727175264
0.999998502162223,1.3708381852396142e-06,1.269995917075358e-07,2.536050642693286e-06,2.0562572778594213e-07,0.9999972583236295
0.9999984924476938,1.3780745144423965e-06,1.2947779171292423e-07,2.5494378517184337e-06,2.0671117716635948e-07,0.9999972438509711
0.9999984826800187,1.3853504318936318e-06,1.3196954940702404e-07,2.562898299003219e-06,2.0780256478404478e-07,0.9999972292991361
0.9999984728589191,1.3926661450605012e-06,1.3447493584095312e-07,2.576432368361927e-06,2.0889992175907517e-07,0.9999972146677099
0.9999984629841164,1.400021861410186e-06,1.3699402206582917e-07,2.590040443608844e-06,2.100032792115279e-07,0.9999971999562772
0.9999984530553324,1.407417788409867e-06,1.3952687913277002e-07,2.603722908558254e-06,2.1111266826148003e-07,0.9999971851644232
0.9999984430722884,1.414854133526726e-06,1.4207357809289343e-07,2.617480147024443e-06,2.122281200290089e-07,0.9999971702917329
0.9999984330347057,1.422331104227944e-06,1.4463418999731723e-07,2.6313125428216966e-06,2.133496656341916e-07,0.9999971553377915
0.9999984229423061,1.4298489079807023e-06,1.4720878589715924e-07,2.645220479764299e-06,2.1447733619710533e-07,0.999997140302184
0.9999984127948108,1.4374077522521818e-06,1.497974368435373e-07,2.6592043416665364e-06,2.1561116283782725e-07,0.9999971251844956
0.9999984025919415,1.4450078445095642e-06,1.5240021388756908e-07,2.6732645123426938e-06,2.1675117667643462e-07,0.999997109984311
0.9999983923334197,1.4526493922200302e-06,1.5501718808037245e-07,2.687401375607056e-06,2.1789740883300453e-07,0.9999970947012156
0.9999983820189666,1.4603326028507617e-06,1.576484304730652e-07,2.701615315273909e-06,2.1904989042761425e-07,0.9999970793347943
0.999998371648304,1.4680576838689392e-06,1.6029401211676514e-07,2.7159067151575376e-06,2.2020865258034088e-07,0.9999970638846323
0.9999983612211532,1.4758248427417445e-06,1.6295400406259016e-07,2.730275959072227e-06,2.2137372641126165e-07,0.9999970483503144
0.9999983507372356,1.4836342869363584e-06,1.6562847736165778e-07,2.744723430832263e-06,2.2254514304045377e-07,0.999997032731426
